연번,기관명,급여종류,설립구분,지정일자,기관주소,기관전화번호,FAX번호,데이터기준일자
14,서래노인요양센터,"방문요양,방문목욕,복지용구제공사업소",개인,20090901,서울특별시 강북구 오현로28길 19 (번동),02-939-0079,02-931-8592,20180717
15,강북노인복지센터,방문목욕,개인,20090910,서울특별시 강북구 도봉로67길 48-6 (미아동),02-981-5004,02-946-0691,20180717
16,예다움재가복지센터,"방문요양,방문목욕",개인,20090915,"서울특별시 강북구 삼양로40길 8, 1층 (미아동)",02-980-6004,02-980-6008,20180717
17,해드림방문요양센터,"방문요양,방문목욕",개인,20090925,"서울특별시 강북구 한천로155길 13 (수유동,1층)",02-997-8528,02-997-8510,20180717
18,예도원방문요양센터,"방문요양,방문목욕",개인,20091110,"서울특별시 강북구 도봉로10다길 11, 3층 (미아동)",070-8796-7222,02-904-2889,20180717
19,가족건강복지센터,"방문요양,방문목욕",개인,20091120,"서울특별시 강북구 도봉로13길 91 (미아동,1층)",02-945-1118,02-945-1118,20180717
20,효성재가노인복지센터,"방문요양,방문목욕",개인,20091211,"서울특별시 강북구 도봉로 296 (번동,양덕빌딩 7층)",02-995-8253,02-6008-7172,20180717
21,참사랑노인요양센터,방문요양,개인,20100107,"서울특별시 강북구 오현로 32 (미아동,청우빌딩 6층)",02-981-1212,02-981-0909,20180717
22,요한어르신돌봄센터,"방문요양,방문목욕",개인,20100119,"서울특별시 강북구 도봉로67길 8 (수유동,3층)",02-988-6622,02-945-6626,20180717
23,효사랑재가복지센터,"방문요양,방문목욕",개인,20100604,"서울특별시 강북구 솔샘로 174, 109동 2101호 (미아동, 에스케이북한산시티아파트)",02-984-9772,02-980-9772,20180717
24,사랑은혜요양센터,"방문요양,방문목욕",개인,20100628,서울특별시 강북구 한천로139가길 72 (수유동),02-6465-7930,02-6053-7930,20180717
25,강북사랑노인복지센터,"방문요양,방문목욕",개인,20110228,"서울특별시 강북구 도봉로 100 (미아동,3층)",02-983-6991,02-983-6992,20180717
26,예원방문요양센터,"방문요양,방문목욕",개인,20110524,"서울특별시 강북구 오현로 172 (번동,1층 103호)",02-985-3610,02-983-3610,20180717
27,가나안노인복지지원센터,"방문요양,방문목욕",개인,20110701,서울특별시 강북구 오패산로67길 7 (번동),02-6084-6974,02-6084-6975,20180717
28,조이방문요양센터,"방문요양,방문목욕",개인,20111014,"서울특별시 강북구 삼각산로 126 (수유동,3층)",02-903-1760,02-999-5028,20180717
29,청송재가요양센터,"방문요양,방문목욕",개인,20111031,"서울특별시 강북구 인수봉로 239, 6층 (수유동, 수유동 도시형생활주택)",02-903-4332,02-990-4333,20180717
30,조은노인복지센터,"방문요양,방문목욕",개인,20120101,"서울특별시 강북구 삼양로 237, 2층 (미아동)",02-981-2997,02-983-2997,20180717
31,민영요양센터2,단기보호,개인,20130701,"서울특별시 강북구 삼양로 184, 5층 (미아동)",02-987-7600,02-987-7602,20180717
32,기쁨재가노인복지센터,"방문요양,방문목욕",개인,20140102,서울특별시 강북구 삼양로46길 4 (미아동),02-6071-9392,02-6071-9383,20180717
33,광선복지케어,복지용구제공사업소,개인,20140224,"서울특별시 강북구 삼각산로 76, 1층 (수유동)",02-990-4491,02-990-4491,20180717
34,(A)비지팅엔젤스강북미아지점,"방문요양,방문목욕",개인,20140318,"서울특별시 강북구 삼양로 171, 2층 (미아동)",02-983-0921,02-6219-0921,20180717
35,강북시니어방문요양센터,방문요양,개인,20140415,"서울특별시 강북구 삼양로 412, 2층 (수유동, 명성빌딩)",02-995-6090,02-993-6090,20180717
36,늘봄실버케어,방문요양,개인,20140502,서울특별시 강북구 노해로15길 43 (수유동),02-995-3914,02-997-3914,20180717
37,강북의료기,복지용구제공사업소,개인,20140625,"서울특별시 강북구 삼양로77가길 9 (수유동, 지층)",02-983-8879,02-987-8870,20180717
38,선노인복지센터,"방문요양,방문목욕",개인,20140701,"서울특별시 강북구 덕릉로 46, 3층 (수유동, 신우빌딩)",02-926-0061,02-926-0062,20180717
39,광선재가요양센터,방문요양,개인,20140818,"서울특별시 강북구 도봉로 328, 1616호 (번동)",02-995-8883,02-992-8883,20180717
40,은나무실버복지센터,"방문요양,방문목욕",개인,20141006,"서울특별시 강북구 삼양로 373, 1층 (수유동)",070-4234-9436,02-908-9436,20180717
41,새봄노인복지센터,"방문요양,방문목욕",개인,20150217,"서울특별시 강북구 한천로129길 17, 1층 (번동)",02-990-8856,02-990-8857,20180717
42,사회적협동조합 강북나눔돌봄센터,방문요양,법인,20150301,서울특별시 강북구 덕릉로 46 (수유동),02-984-1416,070-8280-2222,20180717
43,효노인도움센터,"방문요양,방문목욕",개인,20150401,"서울특별시 강북구 한천로123가길 8, 1층 (번동)",02-999-0897,02-993-0658,20180717
44,나눔복지재가센터,"방문요양,방문목욕",개인,20150423,"서울특별시 강북구 노해로33길 28, 1층 (수유동)",02-6080-0043,02-6084-0043,20180717
45,태양의료기,복지용구제공사업소,개인,20150716,서울특별시 강북구 도봉로 376 (번동),02-991-0364,02-990-0364,20180717
46,예은재가노인복지센터,"방문요양,방문목욕",개인,20150817,"서울특별시 강북구 덕릉로 168-1, 3층 (번동)",02-908-2569,02-981-2569,20180717
47,필립의료기,복지용구제공사업소,개인,20150828,서울특별시 강북구 도봉로 269 (수유동),02-982-1110,02-980-1151,20180717
48,핑크재가노인돌보미센터,"방문요양,방문목욕",개인,20151005,"서울특별시 강북구 도봉로68길 33, 4층 (미아동)",02-946-0104,02-6455-1132,20180717
49,e사랑재가요양센터,"방문요양,방문목욕",개인,20160331,"서울특별시 강북구 삼양로107길 24, 1층 (수유동)",02-908-1275,02-907-1275,20180717
50,중앙재가복지센터,"방문요양,방문목욕",개인,20160524,"서울특별시 강북구 솔샘로 167, 상가동 지층 129-1호 (미아동, 벽산라이브파크)",02-6221-8187,02-988-8187,20180717
51,우리재가복지센터,"방문요양,방문목욕",개인,20160615,"서울특별시 강북구 덕릉로41길 86, 지층 (번동)",02-981-9989,02-981-9982,20180717
52,보듬우리재가복지센터,"방문요양,방문목욕",개인,20160627,"서울특별시 강북구 삼양로54길 116-8, 지층 (미아동)",070-8249-8210,070-4090-8210,20180717
53,강북믿음재가복지센터,"방문요양,방문목욕",개인,20160630,"서울특별시 강북구 삼양로54길 42, 1층 (미아동)",02-927-6292,02-980-6293,20180717
54,한솔 재가 방문요양센터,"방문요양,방문목욕",개인,20160816,서울특별시 강북구 도봉로97길 57 (수유동),02-955-6585,02-907-1911,20180717
55,미소의료기,복지용구제공사업소,개인,20160901,"서울특별시 강북구 삼각산로 58, 신관동 지하층 B110호 (수유동, 국립재활원)",02-994-7794,02-994-7793,20180717
56,다원재가복지센터,방문요양,개인,20161011,"서울특별시 강북구 노해로17길 32, 1층 104호 (수유동)",02-6084-2536,02-6084-2537,20180717
57,꿈사랑재가복지센터,"방문요양,방문목욕,방문간호",개인,20161025,"서울특별시 강북구 도봉로53길 48, 103호 (미아동)",02-2226-5006,02-984-0101,20180717
58,선한이웃재가복지센터,"방문요양,방문목욕",개인,20161026,"서울특별시 강북구 한천로 1054, 3층 (수유동)",02-322-5293,02-6215-7577,20180717
59,"""A""강북복지용구.의료기",복지용구제공사업소,개인,20161125,"서울특별시 강북구 삼양로20길 53, 지층 (미아동)",02-983-9888,02-983-9333,20180717
60,(A+)서울방문요양센터,"방문요양,방문목욕",개인,20161227,"서울특별시 강북구 삼양로20길 53, 지층 (미아동)",02-3423-0095,02-3423-0094,20180717
61,휴 인지재활 데이케어센터,주야간보호,개인,20170117,"서울특별시 강북구 4.19로13길 3 (수유동, 준국빌딩 3층)",02-908-9865,02-908-9864,20180717
62,스마일케어재가노인복지센터,"방문요양,방문목욕",개인,20170428,"서울특별시 강북구 오현로 16, 1층 (미아동)",02-501-7789,02-501-7759,20180717
63,강북효심의료기,복지용구제공사업소,개인,20170701,"서울특별시 강북구 삼양로77가길 9, 지층 (수유동)",02-987-8879,02-987-8870,20180717
64,엘림재가노인복지센터,"방문요양,방문목욕",개인,20170801,"서울특별시 강북구 인수봉로78길 13, 1층 (수유동, 우측)",02-903-2828,02-907-9769,20180717
65,가족사랑노인요양센터,방문요양,개인,20170807,"서울특별시 강북구 월계로 75, 4층 (미아동)",02-994-8655,02-989-8656,20180717
66,보경노인복지센터,"방문요양,방문목욕",개인,20170901,"서울특별시 강북구 오패산로77길 35, 2층 201호 (번동, 다우아파트)",02-904-7896,02-900-7896,20180717
67,강북효심요양원,"방문요양,방문목욕,주야간보호",개인,20170911,"서울특별시 강북구 삼양로77가길 9, 4층 (수유동)",02-987-8879,02-987-8870,20180717
68,강북광산데이케어센터,주야간보호,개인,20170925,"서울특별시 강북구 노해로 87, 5층 (수유동, 광산빌딩)",02-991-1457,02-991-1455,20180717
69,한사랑재가복지센터,"방문요양,방문목욕",개인,20171019,"서울특별시 강북구 도봉로98길 38, 1층 (번동)",02-6348-2433,02-6348-2438,20180717
70,솔샘재가복지센터,방문요양,개인,20171023,서울특별시 강북구 수유로12길 49 (수유동),02-983-5778,02-988-5779,20180717
71,예닮노인복지센터,"방문요양,방문목욕",개인,20180101,"서울특별시 강북구 한천로 1130 (수유동, 2층)",02-900-9133,070-8234-3618,20180717
72,엘림사랑케어,"방문요양,방문목욕",개인,20180116,"서울특별시 강북구 솔샘로 330, 401호 (미아동)",02-981-1401,02-983-1401,20180717
73,아리아케어 방문요양 강북 미아센터,"방문요양,방문목욕",개인,20180209,서울특별시 강북구 삼양로54길 101 (미아동),02-2135-9973,0504-449-6870,20180717
74,가족재가복지센터,"방문요양,방문목욕",개인,20180312,"서울특별시 강북구 인수봉로 252, 2층 (수유동)",02-998-2202,02-998-2203,20180717
75,행복+홈케어서비스,"방문요양,방문목욕",개인,20180328,"서울특별시 강북구 노해로 70, 3층 (수유동, 우림빌딩)",02-998-9550,02-990-0422,20180717
76,로뎀재가노인복지센터,"방문요양,방문목욕",개인,20180525,"서울특별시 강북구 인수봉로77길 25, 3층 301호 (수유동)",02-858-6449,02-858-6449,20180717
77,호산나노인복지센터,"방문요양,방문목욕",개인,20180701,"서울특별시 강북구 삼양로 372-1, 1층 (수유동)",02-907-7956,02-907-7957,20180717
